jp	ko
しかしながら、攻性生物の知能程度は\n著しく低く、アカデミーの手によって\nその行動様式も解明されつつある。\n我が軍の兵器・部隊編成・戦術は、\nそれらの研究に基づいて考案された\nものであり、適切に運用されれば\n絶大なる効果を発揮する。	그래도 공성생물의 지능은 현저히\n낮고,아카데미가 그 행동 양식도\n해명하고 있다.우리 군의\n병기・부대 편성・전술은 그\n연구를 바탕으로 고안돼,적절히\n운용하면 큰 효과를 발휘한다.
しかたない、引き返して別の道を探そう	어쩔 수 없지,다른 길을 찾자
しかない！)	할 수밖에!)
しかも…	게다가…
しかも、その人間は…	게다가,그 인간은…
しっかりしてるね、あんた	야무지네,당신
しばらく、ここで暮らしてみな	당분간,여기서 살아 봐
しばらく、一人にして	잠시,혼자 있게 해줘
しまった！	아뿔싸!
しまった！ こっちは囮か！？	아뿔싸!이쪽은 미끼인가!?
しまった！！	아뿔싸!!
しらばっくれてもだめだよ	시치미 떼도 소용없어
しーっ…	쉿…
じいちゃんの話、聞いたよ	할아버지 이야기,들었어
じかに拝めるのは、司祭ぐらいだろうなあ	직접 뵐 수 있는 건,사제 정도겠지
じっとしてれば通りすぎていく	가만히 있으면 지나갈 거야
じゃあ…	그럼…
じゃあ、あんたの目的は何なんだ？	그럼,당신 목적은 뭐야?
じゃあ、あんたはなんで逃げないんだ？	그럼 당신은 왜 안 도망쳐?
じゃあ、みんなとは別行動なの？	그럼,다들과 따로 행동해?
じゃあ、パエットはどうするつもり？	그럼,파에트는 어떻게 할 생각이야?
じゃあ、儀を助けてくれた時も…	그럼,기를 도와줬을 때도…
じゃあ、同じだね、あたしと	그럼,나랑 똑같네
じゃあその目的は？	그럼 그 목적은?
すぐ、<03>\nシーカーの里<03>	곧,<03>\n시커의 마을<03>
すぐ、シーカーの里に来てほしいそうだ	곧,시커의 마을로 와줬으면 한다는군
すぐ監視台に行く	바로 감시대로 간다
すげえ大砲か何かがあって	굉장한 대포 같은 게 있어서
すごい…	굉장해…
すごい… 地下にこんな空洞があるなんて	굉장해…지하에 이런 공동이 있다니
すごい生命力だ…奴は不死身なのか？	굉장한 생명력…저놈은 불사신인가?
すっかり客足がとだえちまったな…	완전히 손님 발길이 끊겼구나…
すでに塔への入□は封印した	이미 탑으로의 입구는 봉인했다
すでに死んだ星に	이미 죽은 별에
すでに起動してるわ…だから…	이미 기동하고 있어…그러니까…
すべての人が、神ののぞみにかない、\nはるか東方の恵みの森に置かれた日が\n人の世の終息の日となる。\n人なき人の世は、再び無にかえされ、\n恵みの森から出たすべての人が、\n新たな世界の創造をになう。	모든 사람이,신의 뜻에 맞아,\n머나먼 동방의 은혜의 숲에 놓인\n날이 사람 세상의 종식의 날이\n된다.사람 없는 사람의 세상은\n,다시 무로 돌아가고,은혜의\n숲에서 나온 모든 사람이,새로\n운 세계 창조를 맡는다.
すべては、それからだ	모든 것은,그다음부터다
すまない…	미안하다…
すまん…	미안…
すまん…俺の落ち度だ	미안…내 잘못이다
すまんが、奴の事は□外せんでくれんか	미안하지만 그놈 일은 못 빼겠나
すまんが、用ならあとにしてくれ	미안하지만,용건이라면 나중에 해줘
ずいぶん下までやってきたな…	꽤 아래까지 왔군…
ずいぶん派手に動いてやがるな	꽤나 요란하게 움직이는군
ずいぶん物騒な神様じゃねえか、え？	꽤나 위험한 신이잖아,응?
ずいぶん落ち着いてるじゃねえか	꽤 침착하네
ずっと、こっちを見てたみたいだけど…	계속 이쪽을 보고 있었던 것 같은데
ずっと、ひとりで旅してるんですか？	계속 혼자서 여행하시는 거예요?
ずっと、行動を監視させてもらった	계속,행동을 감시하게 해줬다
ずっと、見ていてくれたのかい？	계속,지켜봐 준 거야?
ずっと働いてる俺には、何もなしかよ…	계속 일하는 내겐 아무것도 없어…
ずっと家に戻ってないらしいよ	계속 집에 안 돌아왔다는 듯해
ずっと東に進めば、たどり着けるはずだよ	계속 동쪽으로 가면 닿을 거야
ずっと街にいるわけにはいかないからね	계속 거리에 있을 수는 없으니까
せ…世界！？	세…세계!?
せっかくあの戦乱を生きのびたんだ…	모처럼 그 전란에서 살아남았는데…
せっかくお許しを得た子なんだもの	모처럼 허락을 받은 아이인걸
せっかく助けてやったのにさ！	모처럼 도와줬는데!
せめて、このくらいしてあげないと…	적어도 이 정도는 해 줘야죠…
せめて今だけは、一人の人間として	적어도 지금만은 한 인간으로서
ぜいたく言うなって、なぐられるからさ	사치 부리지 말라며,얻어맞으니까
そ…それがどうしたってんだよ？	그…그게 어쨌다는 거야?
そいつで、塔の総を描いたんだとよ	그걸로,탑의 총을 그렸다고 하더군
そいつにそって、右へ進んでみな	그것을 따라,오른쪽으로 가봐
そいつの事は、もうどうでもいい	그놈 일은 이제 아무래도 상관없어
そいつの入□が見つかれば…	그 입구가 발견되면…
そいつは、おまえ達しだいだよ	그건 너희들한테 달렸지
そいつは、ちょうどよかったぜ！	그거,마침 잘됐네!
そいつは燦光石だよ	그건 찬광석이야
そいつをやるから、あとは本人に聞きな	그걸 줄 테니 나머진 본인에게 물어
そいつを抜けて、すぐ右だって聞いたぜ	그걸 지나 바로 오른쪽이라 들었어
そいつを探そうぜ！	그걸 찾자고!
そいつを考えようぜ！	그걸 생각해보자고!
そいつを越えりゃ目の前だ	그걸 넘으면 바로 앞이다
そう	그래
そう…あなた、シェラっていうの	그래…너,셰라라고 하는구나
そう、例えば…	그래,예를 들면…
そう、彼女を…	그래,그녀를…
そう、道具屋のヤレドさ	그래,도구점 야레드다
そういうこった	그런 거야
そういう事だ	그런 거다
そういえば、君の名前も聞いてなかったな	그러고 보니,네 이름도 못 물어봤네
そういや、妙な噂を聞いたな	그러고 보니,이상한 소문을 들었어
そうか	그래
そうか…、エッジ、ここはワームの巣だ	그런가…엣지,여긴 웜의 둥지야
そうか…ありがとう	그렇군…고마워
そうか…ありがとよ	그렇군…고마워
そうか…えらいものに目をつけやがったな	그런가…대단한 것에 눈독을 들였구나
そうか…そうだな	그런가…그렇군
そうか…でも、なんで隠れてるんだ？	그런가…근데,왜 숨어 있는 거야?
そうか…やっぱり行っちまったか	그런가…역시 가버린 건가
そうか…夢…	그런가…꿈…
そうか、君が儀の中に…	그런가,네가 기 안에…
そうかい…	그러니…
そうか？ いい買い物だと思うけどなあ…	그런가?좋은 물건 같은데 말이지…
そうこなくっちゃ！ あんた、得したぜ	역시 그래야지!당신,이득 봤어
そうじゃないよ、ただ…	그게 아니야,그냥…
そうすりゃ、死んだ子の事を考えずにすむ	그러면 죽은 애 생각을 안 하게 돼
そうすれば、あの人たちは無事逃げられる	그러면 그 사람들은 무사히 도망친다
そうすれば、上空の本体も力を失う	그러면 상공의 본체도 힘을 잃어
そうだ…君、これを買わないか？	그래…자네,이거 안 살 텐가?
そうだ、さっきの男は、大丈夫だろうか？	그래,아까 그 남자는,괜찮을까?
そうだ、そのために塔を…	그래,그러기 위해서 탑을…
そうだ、それでいい	그래,그거면 됐어
そうだけど…	그렇지만…
そうだったら、いいんだけどな	그렇다면,좋겠는데 말이야
そうだな…	그렇군…
そうだな…あんたには教えてもいいかな	그렇군…당신에게라면 알려줘도 될까
そうだなあ…	글쎄…
そうだろうな	그렇겠지
そうですか…	그런가요…
そうではない…	그렇지 않다…
そうでもないさ	그렇지도 않아
そうなのか？	그런 거야?
そうなりゃ、こんな仕事ともおさらばさ	그렇게 되면,이런 일과도 작별이지
そうね…ありがとう	그러네…고마워
そうね…この辺りは、水もわくし	그러네…이 근처는 물도 나고
そうは思わんかね、エッジ君	그렇게 생각하지 않나,엣지 군
そうやって、我々はこの生活を守ってきた	그렇게 우리는 이 생활을 지켜왔다
そう時間はないぞ…	그다지 시간은 없어…
そう決着を急ぐこともあるまい	그렇게 결착을 서두를 것도 없겠지
そう考えた旧世紀の賢人達に	그렇게 생각한 구세기의 현인들에게
そう自分に言い聞かせて、働いてるのさ	그렇게 되뇌며 일하는 거야
そう言っても過言じゃないわ	그렇게 말해도 과언이 아니야
そう言わずに、考え直してもらえんかね	그러지 말고,다시 생각해줄 수 없겠나
そう願いたいな…	그러길 바라는데…
そこが塔の一番上の層だ	저기가 탑의 가장 위층이다
そこで攻性生物のエサにでもなりな！！	거기서 공성생물 먹이라도 되어라!!
そこには「護り火」の火種が安置されとる	그곳엔 「수호의 불」불씨가 있다
そこへ行けたとしても	그곳에 갈 수 있다고 해도
そこまで無事にたどり着けたらな…	그곳까지 무사히 갈 수 있다면…
そこらの軍人とはわけが違うぜ	그 근처 군인들과는 격이 다르다고
そこをどいてくれ	거기서 비켜줘
そこを抜ければ、砂漠を出られるぜ	거길 지나면 사막을 빠져나가
そこを退いてくれ	거기서 물러나 줘
そこを集中攻撃すれば倒せる！	거길 집중 공격하면 쓰러뜨린다!
そして、いつかまた争いになるのだぞ	그리고 언젠가 또 다툼이 벌어진다
そして、そのためには…	그리고,그러기 위해서는…
そして、その正体と組織力は常に隠される	그리고 정체와 조직력은 늘 감춰진다
そして、数千年に渡る使命が	그리고,수천 년에 걸친 사명이
そっちのハンターは我々の手で	그쪽 헌터는 우리 손으로
その、つまり…	그,그러니까…
そのうち、他の国を攻め出してな	그러다 다른 나라를 공격하기 시작해
そのうち、目が覚めるはずさ	곧,눈을 뜰 거야
そのうちわかるようになるよ、きっと	곧 알게 될 거야,분명
そのかわり…	그 대신…
そのかわり、何かあったら手を貸してくれ	그 대신,무슨 일 있으면 도와줘
そのせいで砂漠の攻性生物が	그 탓에 사막의 공성생물이
そのための旅だし、戦いなんだ	그러기 위한 여행이고,싸움이야
そのつもりで儀をここに置いてたんだろ	그럴 생각으로 기를 여기 둔 거였지
そのへんのバカどもには無理だろうけどな	그 근처 바보들에겐 무리겠지만
そのまま進めば、通路に入れるはずだよ	그대로 가면 통로에 들어갈 수 있어
そのまま進んでください	그대로 나아가 주세요
そのクレイメンって奴は砂漠へ向かったぜ	그 크레이멘이란 놈은 사막으로 갔어
そのドラゴンには、彼女が乗ってたんだ	그 드래곤에는,그녀가 타고 있었어
そのラギは、また新たな力を見せた。\n戦いを終えたラギは、光を放ちながら\n一瞬で脱皮を遂げた。\nあれが、ドラゴンの成長のやり方\nなのだろう。	그 라기는,또 새로운 힘을\n보였다.싸움을 끝낸\n라기는,빛을 내뿜으며 순식간에\n탈피를 마쳤다.저것이,드래곤의\n성장 방식 인 것이리라.
その上の層に出たところだ	그 위층으로 나온 참이다
その中で一番偉いのが、司祭ってわけよ	그중 가장 지위가 높은 게 사제야
その使命を果たすためなら何度でも	그 사명을 위해서라면 몇 번이고
その全てを破壊するには、おそらく…	그 모든 것을 파괴하려면,아마도…
その内容は、「ドローン」と呼ばれる\n創造物に関するものである。しかし、\nこのようなものが実際に発掘されたと\nいう記録は、「編み人」の間には\n伝わっていない。	그 내용은,「드론」이라 불리는\n창조물에 관한 것이다.하지만,\n이런 것이 실제로 발굴되었다는\n기록은,「엮는 자」들 사이에는\n전해지지 않는다.
その前に、ここを早く離れた方がいい	그전에 여기서 빨리 벗어나야 한다
その力に振り回されているというのに	그 힘에 휘둘리고 있으면서도
その力は、我々帝国にこそふさわしい	그 힘은,우리 제국이야말로 어울린다
その場所が、ゲオルギウスか…	그 장소가,게오르기우스인가…
その壁にそって、右に進むと…	그 벽을 따라,오른쪽으로 가면…
その壁にそって、右に進むんだ	그 벽을 따라,오른쪽으로 가
その左側が、教会なんだとよ	그 왼쪽이,교회라던데
その後、改めて追跡調査が行われたが\n予測飛行コース上にシェルクーフの\n姿はなく、ただ大規模な戦闘跡を\n無数に確認するのみであった。\nシェルクーフは、この戦闘によって\n破壊されたと思われるが、それを可能\nならしめた戦力の実体は不明である。	그 후 추적 조사가 이루어졌지만\n예측 비행 코스에 셸쿠프의\n모습은 없었고,대규모 전투\n흔적만 무수히 확인됐다.셸쿠프는\n이 전투로 파괴됐다고\n여겨지나,그것을 가능케 한\n전력의 실체는 불명이다.
その指揮官ともなりゃ、相当やばい男だぜ	그 지휘관쯤 되면 꽤 위험한 남자야
その攻撃はやつを成長させるだけだ	그 공격은 저놈을 성장시킬 뿐이다
その方が安全だろうし、それに…	그편이 안전할 테고,게다가…
その日の日没までに、水を浴びて身を\n清め、ワント麻で織られた新しい布で\n作られた服をまとわねばならない。\nまた、祈りの夜の間は、いかなる\n燈火も用いてはならない。	그날 일몰까지,물을 뒤집어써\n몸을 정화하고,완트 삼으로 짠\n새로운 천으로 지은 옷을\n걸쳐야 한다.또한,기도의 밤\n동안은,어떠한 등불도 써서는\n안 된다.
その時は…	그때는…
その時は、帝国の技術者にでもなるさ	그때는,제국의 기술자라도 되겠어
その機能を尋われている	그 기능을 추궁받고 있다
その笛は、村に伝わる宝だったの	그 피리는 마을에 전해지는 보물
その罪は万死に値する	그 죄는 죽어 마땅하다
その行動の全てが	그 행동의 전부가
その試作段階の途中で破来された	그 시작품 단계 도중에 파괴되었다
その道が、神ののぞみにかなった時、\n死せる人は、はるか東方の恵みの森に\n置かれる。\nその地には、生の苦役も、\n人の世のあらゆるけがれもなく、\n万象が人に手を差しのべる。	그 길이 신의 뜻에 합당할 때,\n죽은 자는 머나먼 동쪽의 은총의\n숲에 놓이게 된다.그 땅에는\n삶의 고역도,인간 세상의 온갖\n더러움도 없으며,만물이\n사람에게 손을 내민다.
その道が、神ののぞみをはずれた時、\n死せる人は、新たなからだとともに\n再び人の世に打ち捨てられる。\nよき道を歩まないかぎり、人は、\n何度でも苦難の生をつとめ、\n何度でも死の闇を味わい、\n何度でもさばきの前にさらされる。	그 길이 신의 뜻에서 벗어날\n때,죽은 자는 새 육신과 함께\n인간 세상에 버려진다.올바른\n길을 걷지 않는 한,인간은 몇\n번이고 고난을 되풀이하고,죽음의\n어둠을 맛보며,심판 앞에 서게\n된다.
その遣跡って、どんな所だ？	그 유적이란 건,어떤 곳이지?
その遣跡を目覚めさせた者は…	그 유적을 깨운 자는…
その銃が、やたらと立派なんだよな	그 총이,되게 근사하단 말이지
その銃とシンクロさせる	그 총과 동조시킨다
その鍵ともいうべきアゼルを手に入れる	그 열쇠라 할 아젤을 손에 넣는다
その首飾り、ガッシュのだな	그 목걸이,가슈 거로군
そりゃ、おまえはいいさ	그야,넌 괜찮겠지
そりゃ、同じシーカーだからな	그야,같은 시커니까 말이야
そりゃそうも言いたくなるさ	그야 그렇게도 말하고 싶어지지
それ…ヴェラトの笛よね	그거…벨라토의 피리지?
それ、欲しいのか？	그거,갖고 싶은 거냐?
それからも、何度も死ぬような目にあった	그 뒤로도 몇 번이나 죽을 뻔했다
それが、何のために存在するのかさえも…	그게,무엇을 위해 존재하는지조차…
それが、君が発掘されたとたんに	그게,네가 발굴되자마자
それがシーカーの鉄則だ	그게 시커의 철칙이다
それが俺達の鉄則だ	그게 우리들의 철칙이다
それが旧世紀に与えられた	그것이 구세기에 주어진
それが本当のハンターってもんだ	그게 진정한 헌터라는 거다
それが私の存在の全てだった…	그것이 나의 존재 전부였다…
それじゃ、これでどうだ？	그럼,이건 어때?
それじゃ、これならどうだ？	그럼,이거라면 어때?
それじゃ、奴も死んじまったんだな	그럼,그놈도 죽어버린 거군
それじゃ、次はウルの話をしようか	그럼,다음은 우르 얘기를 해볼까
それじゃ、遠慮なくもらっとくわ	그럼,사양 않고 받아두지
それじゃ俺達、何のために戦ったんだよ？	그럼 우린 뭘 위해 싸운 거야?
それぞれの塔に1頭ずつ授けられた\nドラゴンは、与えられた使命を今でも\n果たし続けている。\n旧世紀の兵器を操る帝国軍でさえ\nその守りを破ることはできない。\nドラゴンの力に対抗できるのは、\n同じドラゴンだけなのだ。	각각의 탑에 한 마리씩 주어진\n드래곤은,부여받은 사명을 지금도\n계속 다한다.구세기의 병기를\n다루는 제국군조차 그 수호를\n깨뜨릴 수 없다.드래곤의 힘에\n대항할 수 있는 것은,오직\n같은 드래곤뿐이다.
それぞれの行動は\n必要なゲージ量があれば\nいつでも好きな時に行える。	각 행동은\n필요한 게이지만 있으면\n언제든 할 수 있다.
それだけか？	그것뿐인가?
それだけは、わかってほしい…	그것만은,알아줬으면 해…
それって…どんな話だ？	그게…무슨 얘기지?
それで、父ちゃんの狩りをてつだうんだ！	그래서,아빠 사냥을 도울 거야!
それでも、儀は…	그래도,나는…
それでも、君がこの街を見捨てるのなら	그래도,네가 이 마을을 저버린다면
それなのに…	그런데도…
それなのに、私は力に目覚めてしまった…	그런데도,나는 힘에 눈떠버렸다…
それなら…	그렇다면…
それに…	게다가…
それに…あれは…	게다가…그건…
それに…いずれ、わかるかもしれねえしな	게다가…언젠간 알게 될지도 모르지
それに、しょせんは子供だ	게다가,어차피 애송이다
それに、たとえ「護り火」が消えても	게다가 '수호의 불'이 꺼지더라도
それに、まだ無事に出られると	게다가,아직 무사히 나갈 수 있다고
それにあんたには聞きたい事が山ほどある	게다가 당신한테 물을 게 산더미야
それにさわるな！	그것에 손대지 마!
それにしても…すごいな、あんた	그나저나…대단하군,당신
それにしても、よくここに入れたね	그나저나,용케 여기 들어왔네
それにはああいう方法しかなかった…	그것에는 그런 방법밖에 없었다…
それに帝国軍は？	그리고 제국군은?
それは、あんたにやるよ	그건,당신한테 줄게
それは、攻性生物の行動を制御する\n力場を発生する機能である。\nおそらく、記録されている情報を保護\nするためのものだろう。\nただし、構造体の動力が小さいので、\n力場の範囲と効力はかなり限られる\nようである。	그것은,공성생물의 행동을\n제어하는 역장을 발생시키는\n기능이다.아마도,기록된 정보를\n보호 하기 위한 것이리라.\n다만,구조체의 동력이 작기\n때문에,역장의 범위와 효력은\n상당히 한정된 것으로 보인다.
それはできない	그건 할 수 없다
それは儀も同じさ	그건 나도 마찬가지야
それほどの細工はめったに見られんぞ	그 정도 세공은 좀처럼 못 본다
それまで待っててくれ！！	그때까지 기다려줘!!
それも、ドラゴンの力ってやつか	그것도,드래곤의 힘이라는 건가
それも、真っ黒いやつがな	그것도,새까만 놈이 말이지
それより、おまえに渡す物があるんだ	그보다,너한테 줄 게 있어
それより、なんであんたがここに…	그보다,왜 당신이 여기에…
それより、街を出なくていいのか？	그보다 마을을 안 나가도 돼?
それをめぐって、2匹のドラゴンが戦った	그걸 둘러싸고 두 드래곤이 싸웠다
それをネタに、評議会を斉してるんだとよ	그걸 구실로 평의회를 흔든다더군
それを作動させれば	그것을 작동시키면
それを押せば動く	누르면 움직인다
それを邪魔する者は誰も近づけさせない	그걸 막는 자는 아무도 못 온다
それを開くことができるのは、彼女だけだ	그것을 열 수 있는 것은,그녀뿐이다
それ以来、俺は銃を持てなくなっちまった	그 뒤로 총을 들 수 없게 됐다
そんな…そんなバカな！？	그런…그런 말도 안 되는!?
そんなこと、できるわけないだろ	그런 걸,할 수 있을 리 없잖아
そんなに、あの子が気になるのかい？	그렇게 그 애가 신경 쓰이니?
そんなにあたしの事、気になる？	그렇게 내가 신경 쓰여?
そんなに急ぐ事ないのにねえ	그리 서두를 것 없는데
そんなに悪い所じゃなかった	그렇게 나쁜 곳은 아니었다
そんなものがあるのか？	그런 게 있는 건가?
そんなんじゃないよ	그런 거 아니야
そんな事、気にしやしないよ	그런 건 신경 안 써
そんな事がわかるのか？	그런 걸 알 수 있어?
そんな事じゃ、生きのびられんぞ	그런 식으로는,살아남을 수 없다
そんな事ないさ	그렇지 않아
そんな事より生きのびる方法を考えろ	그런 것보다 살아남을 방법을 생각해
そんな人が、どうして…	그런 사람이,어째서…
そんな場所が、本当にあるのか？	그런 곳이 정말로 있나?
そんな大切な物だったのか…	그렇게 소중한 물건이었나…
そんな奴、この街にはいないよ	그런 녀석,이 마을에는 없어
そんな時、位置取り中から前もって\nボタンを押したままにしておけば\n位置取り終了と同時に\n敵より先に行動することができる。\nこれを<03>\n先行入力<03>	그럴 때,위치 선정 중에 미리\n버튼을 누른 채로 있으면\n위치 선정 종료와 동시에\n적보다 먼저 행동할 수 있다.\n이것을 <03>\n선행 입력<03>
そんな物があるのか？	그런 물건이 있는 건가?
そんな目で見るなよ	그런 눈으로 보지 마
そんな！？	그런!?
たいした事じゃない	별일 아니야
たいした事ないよ	별거 아니야
たいした奴だな…	대단한 녀석이군…
たいした武器も持ってなかったしなあ	변변한 무기도 없었고 말이지
たいした武器を持ってるわけじゃないし	대단한 무기를 가진 것도 아니고
たいした物じゃないが、お礼のしるしだ	별거 아니지만,감사의 표시야
たいていの連中が、そう信じてるがな	대부분은 그렇게 믿고 있지만 말이야
たかが一匹だ、叩きつぶすぞ	겨우 한 마리다,때려잡아 주지
ただ…	다만…
ただ…？	다만…?
ただ、こいつには、普通に戦っても\n勝てないような秘密があるらしいから\n注意が必要だ。\n「番人」に出くわしたら、その近くを\nよく調べてみてくれ。なにか特別な\n設備があるかもしれない。	다만,이 녀석에게는,그냥\n싸워서는 이길 수 없는 비밀이\n있는 듯하니 주의가 필요하다.\n'파수꾼'과 마주치면,그 근처를\n잘 조사해 봐라.뭔가 특별한\n설비가 있을지도 모른다.
ただ、与えられた力が違う	다만,부여받은 힘이 다르다
ただ、偶然塔が写ってた透視板を	다만,우연히 탑이 비쳤던 투시판을
ただ、帝国の基地について調べてるから…	다만 제국 기지를 조사 중이니까…
ただ、昼間は店を閉めてるはずですが…	낮엔 가게 문을 닫았을 텐데요…
ただ、誰が敵か気づいてほしいだけだ	다만 누가 적인지 깨달아 주길
ただ、造られただけ	그저,만들어졌을 뿐
ただし、\n位置取りは逆に遅くなるので\n位置取りによる時間のロスが\n大きくなってしまう。	단,위치 선정은\n반대로 느려지므로 위치\n선정으로 인한 시간\n손실이 커지고 만다.
ただし、\n防御力は逆に低くなるので、\n攻撃を受けた時のダメージが\n大きくなってしまう。	단,방어력은 반대로\n낮아지므로,공격을\n받았을 때의 데미지가\n커지고 만다.
ただし、めんどうは持ち込まんでくれよ	단,귀찮은 일은 가져오지 말아줘
ただし、バーサークの威力は\n逆に低くなる。また、\nより多くのBPを消費しなければ\nバーサークを使えなくなる。	단,버서크의 위력은 반대로\n낮아진다.또한,더 많은\nBP를 소비하지 않으면\n버서크를 쓸 수 없게 된다.
ただし、レーザーの威力は\n逆に低くなるので\nその分を銃でおぎなうことが\n重要になる。	단,레이저의 위력은\n반대로 낮아지므로\n그만큼을 총으로\n보충하는 것이\n중요해진다.
ただし、位置取りをしている間は\nゲージが増加しないため\n位置取りを多く行なうほど\n時間のロスになることに注意。	단,포지셔닝 중에는\n게이지가 안 차므로\n포지셔닝을 많이 할수록\n시간 손실이 되니 주의.
ただし、俺の名は出すなよ	단,내 이름은 꺼내지 마
ただし、君のドラゴンだけは違う	단,너의 드래곤만은 다르다
ただし、異常になるのは\nドラゴンだけである。\n銃の発射やアイテムの使用は\nエッジの行動なので\nステータスに関係なく可能である。	단,이상 상태가 되는 것은\n드래곤뿐이다.\n총 발사나 아이템 사용은\n엣지의 행동이므로\n상태와 관계없이 가능하다.
ただの乗り手ではなく、	그저 그런 조종자가 아니라,
ただの兵器ですら扱いきれず、	그저 병기조차 다루지 못하고,
ただの殺殲兵器にすぎん	그저 살육 병기일 뿐
たちまち攻性生物が襲ってくるんだぜ	순식간에 공성생물이 덮쳐온다고
たとえそうでも、あのひとは私を	설령 그렇다 해도,그분은 나를
たぶん、あたしが最後の生き残り…	아마,내가 마지막 생존자…
たぶん、シーカーの仕業だろうな	아마,시커의 짓이겠지
たぶん、戦の道具だったんだろう	아마,전쟁의 도구였겠지
だ…)	다…)
だ、だめか…	안,안 되나…
だ、大丈夫、なんとかなるって	괘,괜찮아,어떻게든 될 거야
だいいち、それ、どこで手に入れたの？	애초에 그거,어디서 얻은 거야?
だいいち、バイマンって誰だ？	애초에,바이만이 누구야?
だいぶ流されたな…	꽤 떠내려왔군…
だいぶ落ちてきたな…	꽤 떨어졌군…
だから、あたしは、いつも通り働くだけ…	그러니까,나는,평소대로 일할 뿐…
だから、あなたが死ねば、	그러니까,당신이 죽으면,
だから、あのひとのために戦う…	그러니까,그분을 위해 싸운다…
だから、かくれんぼしたの！	그래서,숨바꼭질 한 거야!
だから、そいつの正体がわかったんだよ！	그래서 그놈 정체를 알게 된 거야!
だから、何度も言ってる…じゃないか	그러니까,몇 번이나 말하고 있잖아…
だから、司祭様はよそ者に厳しいんだよ	그래서 사제님은 외지인에게 엄격해
だから、時々えらいことになる	그래서,가끔 큰일이 나는 거다
だから、物思う力が強すぎる…	그래서,생각하는 힘이 너무 강하다…
だからこそ、多くの者が森の奥に行って	많은 이가 숲 깊은 곳으로 가서
だからエッジ、	그러니까 엣지,
だから！！	그러니까!!
だが、いつかは	하지만,언젠가는
だが、うまくいく見込みはほとんどない…	하지만,잘될 가능성은 거의 없다…
だが、その内部に潜入し、	하지만,그 내부에 잠입해서,
だが、それもここで終わりだ	하지만,그것도 여기서 끝이다
だが、どうやって？	하지만,어떻게?
だが、ひとつだけ共通点がある	하지만,한 가지 공통점이 있다
だが、もう止められる者は誰もいない	하지만 이제 막을 자는 아무도 없다
だが、エゴと言われようと	하지만,이기심이라 불리더라도
だが、ドラゴンの戦闘力は、現存する\n兵器をはるかに超えるものであった。\n建造中の試作兵器をも投入した深夜の\n戦闘は、捕獲部隊と発掘所の全滅と\nいう、最悪の結果に終わった。	하지만,드래곤의\n전투력은,현존하는 병기를 훨씬\n뛰어넘는 것이었다.건조 중이던\n시작 병기까지 투입한 심야의\n전투는,포획 부대와 발굴소의\n전멸이라는 최악의 결과로\n끝났다.
だが、上空から森を越えるのは難しい	하지만 상공에서 숲을 넘긴 어렵다
だが、何で突然…	하지만,왜 갑자기…
だが、俺は体が弱くてな	하지만,나는 몸이 약해서 말이지
だが、塔は世界中に散らばっている	하지만,탑은 전 세계에 흩어져 있다
だが、失われた文明の力を借りた	하지만,잃어버린 문명의 힘을 빌린
だが、帝都を滅ぼしたこの力も、	하지만,제도를 멸망시킨 이 힘도,
だが、旅は続けねばならん	하지만,여행은 계속해야만 한다
だが、旧世紀においても、塔の存在を\nよしとしない者たちがいた。\n塔の創造主たちは、彼らによって塔が\n破壊されることを怖れ、世界の泉\n「ウル」の胎内から、塔の守護者たる\n最強の攻性生物を産み出した。\nそれが、ドラゴンである。	하지만 구세기에도 탑의 존재를\n달가워하지 않는 자들이 있었다.\n탑의 창조주들은 그들에게 탑이\n파괴될 것을 두려워해,세계의 샘\n'우르'의 태내에서 탑의 수호자\n인 최강의 공성생물을 만들어냈다\n.그것이 드래곤이다.
だが、旧世紀の亡霊に	하지만,구세기의 망령에
だが、現在我が軍の使用する兵器は\n全て発掘物の修復・改造品であり、\n絶対数は常に不足状態にある。ゆえに\nその取り扱いには細心の注意を払い、\n動力の消耗を最小限に抑えるように\n心がけねばならない。	하지만,현재 우리 군이 쓰는\n병기는 모두 발굴물의\n수복·개조품이며,절대수는 항상\n부족한 상태이다.그러므로 그\n취급에는 세심한 주의를 기울여,\n동력 소모를 최소한으로\n억제하도록 유념해야 한다.
だが、生きてるんじゃない	하지만,살아있는 게 아니다
だが、私はここに残ることにする	하지만,나는 여기에 남기로 한다
だが、私はよそ者は好かん	하지만,나는 외지인이 싫다
だがな…見ての通り、貧しいキャラバンだ	하지만…보다시피 가난한 카라반이다
だがな、統治には伝説が必要なのだ	하지만 통치엔 전설이 필요하다
だがやつのいう金も むりをすれば\nはらえないがくじゃない。\nおれのからだも あといく年かは\nまともにはたらいてくれるだろう。	하지만 그놈이 말하는 돈도\n무리를 하면 못 낼 액수는\n아니다.내 몸도 앞으로 몇\n년쯤은 제대로 일해 줄 거다.
だけど…	그렇지만…
だけど…このドラゴン、どうやったら	그렇지만…이 드래곤,어떻게 하면
だけど…私は…	그렇지만…나는…
だけど、そうじゃなくても	그렇지만,그렇지 않아도
だけど、今の私は自分の意志で、	그렇지만,지금의 나는 내 의지로,
だけど、奴は本望だろうよ	그래도,그놈은 만족스러울 거야
だけどな、俺のような人間がいるから	그렇지만 나 같은 인간이 있으니까
だったら、これ読んでみな	그렇다면,이거 읽어봐
