kind	jp_off	us_off	jp	us
~1:2	01E1FF	01FEEB	(【60】か【155】してるけど…よく【156】こえないな)	(They're talking about something... but I can't hear.)
1:1	01E233	01FF2F	あんたのご【257】【144】だけどさ	I've heard that your man is often
1:1	01E24A	01FF51	【251】【202】、【4】【5】【3】によく【20】くらしいね	seen in the Liberal District.
~1:2	01E276	01FF7C	ええ…【88】の【519】みをよそ【282】に売るとかで…	Yes... to sell blessings from the forest to outsiders.
~1:2	01E2A8	01FFC0	それで、【93】【94】に【561】める【219】が【196】ってるんだね	Is that why the deliveries from the forest are decreasing?
~1:2	01E2CF	01FFFB	【465】が【555】ぎると、【383】【237】【461】ににらまれるよ	I'm sure the High Priest wouldn't approve, if he ever found out.
~1:1	01E2FF	020049	【383】【237】【461】のお【562】さんね	I've heard that the grandson of
~1:1	01E312	020069	ずっと【129】に【563】ってないらしいよ	the High Priest hasn't come home.
~1:2	01E32F	02008B	なんでも、【4】【5】【3】の【439】に【20】ってるとか…	It appears that he has gone to  the Liberal District.
1:1	01E361	0200CE	まあ、そうなんですか	Oh, is that so?
~1:1	01E383	0200EB	【436】い【144】の【96】【167】ちはわからないねえ…	I don't understand young people...
~1:1	01E3A4	02010E	わざわざ【17】に【20】きたがるなんてさ	Why would they want to go outside?
~1:2	01E3C3	020131	(【60】か【155】してるけど…よく【156】こえないな)	(They're talking about something... but I can't hear.)
~1:2	01E3F7	020175	あんた【242】が【1】【2】【3】に【285】る【49】の【155】だけど…	It was before you moved into the Holy District...
~1:2	01E41C	0201A7	ここに【68】れ着いた【205】【144】【242】と【526】いが【369】きてね	There was a fight with some outsiders.
~1:2	01E443	0201CE	【49】の【383】【237】【461】の【452】【321】さん【232】【564】は、その【158】…	That's when the son of the High Priest, and his wife...
1:1	01E475	020213	【565】くなったんですか…	Passed away?
~1:1	01E497	02022D	ああ…お【562】さんを【100】してね	Yes, they were both killed.
~1:2	01E4B0	020249	だから、【383】【237】【461】はよそ【282】に【566】しいんだよ	That's why the High Priest hates outsiders.
1:1	01E4E2	020282	あの【321】、【361】【567】じっとしてなくて…	That girl just won't keep still...
1:1	01E50E	0202B2	【568】【96】で【363】【292】じゃないか	She's just healthy.
1:1	01E523	0202C6	せっかくお【513】しを【511】た【321】なんだもの	She was one of the approved, so
1:1	01E544	0202E6	【56】【218】にしておあげ	you should take good care of her.
1:1	01E555	020308	<!FF>た【321】なんだもの	(They're talking about something...
1:1	01E565	02032C	(【60】か【155】してるけど…よく【156】こえないな)	but I can't hear.)
1:1	01E599	02034C	【379】の【513】しをもらったのか【380】らないけど	I don't know who gave you
1:1	01E5BC	020366	な)	permission, but we don't like
1:1	01E5C0	020384	よそ【282】にうろうろされると【467】るねえ	outsiders hanging out in our town.
~2:1	01E5EE	0203B4	よそ【282】とのいざこざはごめんだよ あっち【20】っとくれ	I don't want any trouble from you,
~4:1	01E620	0203D7	<18><09> <03><05><09> <09>\n<07>ひめ<01><07> <09>\n<09>ソ…<15><02>	outsider! Go away!
~1:1	022862	024DDE	なんだ、ぽうずも【191】むのか？	You wanna drink, son?
~1:1	02287D	024DF4	…いや、ぺつに【309】めやしねえよ	I won't stop ya.
~1:1	02289A	024E05	ジューパの【256】は、【379】だってお【511】【462】【461】さ	My place is open to everyone.
~1:1	0228BD	024E23	【370】さえ【409】ってくれりゃな	As long as they pay, ya know.
~1:2	0228E1	024E4E	【155】なら、【569】【570】してからにしな	Talk to me after ya order. Pay 20 Dynes
~1:1	0228FC	024E76	20【6】【409】う	Do not pay
~1:1	022907	024E81	【409】わない	(Looks like he's the owner of
~1:1	022910	024E9F	(あの【311】がここの【257】【144】らしい)	this bar.)
~1:1	02292D	024EAA	(【192】【411】の【257】【144】のジューパだ)	(It's Juba, the owner of this bar.)
~1:1	022955	024EDB	なんか【87】か、ぽうず？	Ya want somethin', son?
~1:2	02296A	024EF3	(【45】【253】【192】を【191】んだ…すごい【265】だ)	(I had the illuminating drink... Its taste is... horrible.)
~1:1	022996	024F3C	ウルの【36】【571】【144】に【315】わる【45】【253】【192】だ	It's illuminating!
~1:1	0229B3	024F4F	)	It's something you can't get
~3:1	0229B5	024F6C	よそじゃ【191】めねえ【122】物だぜ <!C0>だ )	anywhere else, ya know.
~1:1	0229D4	024F84	どうだ、うめえだろ？	How is it? Ain't it good?
1:1	0229F6	024FAB	うっ…	(I feel sick...)
1:1	022A0A	024FC9	あ、ああ…うまいよ	Yeah, it's good...
1:1	022A2A	024FE9	【99】【147】か？ なんか【401】しそうだぜ	Are ya sure? Looks to me like
1:1	022A47	025007	)	you're turnin' green.
1:1	022A56	02502A	そ、そんなことないさ	No, I'm okay...
~1:1	022A78	025047	いいって、いいって	Hey, you're all right.
~2:1	022A8B	02505E	【90】性あるじゃねえか、【96】に【41】ったぜ <16>	You got guts, I like ya.
~1:1	022AAE	025077	こいつをとっときな、ハンターさんよ	Here, keep this.
1:1	022ADE	025095	いや、ちょっと、これは…	Well, it burns...
1:1	022B04	0250B4	なんだ、やっばりガキだな	Well, you're still a boy, eh?
1:1	022B1D	0250D2	(しまった、【167】ち【355】わせがない…)	(I don't have enough dynes.)
~1:2	022B4B	0250FC	【370】がねえなら、【285】るんじゃねえよ！	Don't come here, if ya ain't  got the money!
1:1	022B79	025136	ああそうかい、だったら【530】んな！	Oh, then go home!
1:1	022BA5	025155	おい、ぽうず…	Hey, son...
1:1	022BB4	025161	【147】【219】、【192】【122】はまけといてやるぜ	I'll give ya a discount
1:1	022BD1	025179	！	for the drinks.
1:1	022BD3	025189	ヤエルに【386】まれちまってよ	Jael asked me to, ya know.
1:1	022BEC	0251A4	あいつと、なんかあったんだろ？	You must have made some
1:1	022C0B	0251BC	ガキのくせにやるじゃねえか、へへへ…	impression, you animal!
1:1	022C3D	0251E1	【155】なら、【569】【570】してからにしな	Talk to me after ya order.
1:1	022C58	0251FC	20【6】【409】う	Pay 20 Dynes
1:1	022C63	025209	【409】わない	Do not pay
1:1	022C6C	025214	10【6】【409】う	Pay 10 Dynes
1:1	022C77	025221	【409】わない	Do not pay
1:1	022C8D	025239	【155】なら、【569】【570】してからにしな	Talk to me after ya order.
1:1	022CA8	025254	20【6】【409】う	Pay 20 Dynes
1:1	022CB3	025261	【409】わない	Do not pay
1:1	022CBC	02526C	(【192】【411】の【257】【144】のジューパだ)	(It's Juba, the owner of this bar.)
~1:1	022CE4	02529D	なんか【87】か、ぽうず？	Ya want something?
~1:2	022CF9	0252B0	(【45】【253】【192】を【191】んだ…すごい【265】だ)	(I had the illuminating drink... I can't feel my legs.)
~1:2	022D25	0252F5	どうだ、【45】【253】【192】の【265】にゃ【572】れたか？	Did ya get used to the taste of my illuminating drink yet?
1:1	022D53	02533D	あ、ああ…うまいよ	Yeah, it's... good...
1:1	022D73	025360	【99】【147】か？ なんか【401】しそうだぜ	Are ya sure? Looks to me like
1:1	022D90	02537E	<11>？	you're in pain or somethin'.
1:1	022DA1	0253A8	そ、そんなことないさ	No, not really.
~1:1	022DC3	0253C5	いいって、いいって	Hey, you're all right.
~2:1	022DD6	0253DC	【90】性あるじゃねえか、【96】に【41】ったぜ へ…	You got guts, I like ya.
~1:1	022DFB	0253F5	こいつをとっときな、ハンターさんよ	Here, keep this.
1:1	022E2B	025413	いや、まだ、ちょっと…	I feel kinda dizzy.
~1:1	022E4F	025434	なんだ、まだダメか	Still no, eh?
~1:2	022E62	025442	そいつのうまさがわかれぱ、【174】【144】【49】だぜ	If ya can handle it, you're a real man.
~1:1	022E88	02546A	(しまった、【167】ち【355】わせがない…)	(I don't have enough dynes.)
~1:2	022EB6	025494	【370】がねえなら、【285】るんじゃねえよ！	Don't come here, if ya ain't  got the money!
~1:2	022ED7	0254C1	(【45】【253】【192】を【191】んだ…すごい【265】だ)	(I had the illuminating drink... My mouth is numb.)
~1:2	022F03	025502	どうだ、【45】【253】【192】の【265】にゃ【572】れたか？	Did ya get used to the taste of my illuminating drink yet?
1:1	022F31	02554A	あ、ああ…うまいよ	Yeah, it's good...
1:1	022F51	02556A	【99】【147】か？ なんか【401】しそうだぜ	Are ya sure? Looks like you're
1:1	022F6E	025589	<11>？	in pain or somethin'.
1:1	022F7F	0255AC	そ、そんなことないさ	No, no... not really.
~1:1	022FA1	0255CF	いいって、いいって	Hey, you're all right.
~2:1	022FB4	0255E6	【90】性あるじゃねえか、【96】に【41】ったぜ <!A6>ぜ	You got guts, I like ya.
~1:1	022FDA	0255FF	こいつをとっときな、ハンターさんよ	Here, keep this.
1:1	02300A	02561D	いや、まだ、ちょっと…	I feel kinda dizzy.
~1:1	02302E	02563E	なんだ、まだダメか	Still no, eh?
~1:2	023041	02564C	そいつのうまさがわかれぱ、【174】【144】【49】だぜ	If ya can handle it, you're a real man.
~1:1	023067	025674	(しまった、【167】ち【355】わせがない…)	(I don't have enough dynes.)
~1:2	023095	02569E	【370】がねえなら、【285】るんじゃねえよ！	Don't come here, if ya ain't  got the money!
1:1	0230C3	0256D8	ああそうかい、だったら【530】んな！	Oh, then go home!
1:1	0230EF	0256F7	帝国って【327】や、【156】いたか？	Talk about the Empire? Did ya hear
1:1	023108	02571A	【438】い【77】【40】【170】【573】の【155】！	about the black ship?
1:1	023128	02573D	【438】い【78】！？ この【202】くにいるのか！	A black ship? Is it nearby?
1:1	023156	025766	でけえ【297】【13】すんじゃねえよ	Not so loud, eh?
1:1	02316F	025777	【394】だ、【394】	It's only a rumor.
1:1	023178	02578A	<0D>すんじゃねえよ	They're looking for
1:1	023188	02579E	『【574】』を【529】して、うろうろしてるそうだぜ	the Tower.
1:1	0231BD	0257B6	『【574】』…？	The Tower?
~1:2	0231D5	0257CE	【88】の【108】こうにあるっていう【442】【80】よ	One of the ruins, they say, is on the
~1:3	0231F4	0257F4	【575】しいことは、バエットにでも【156】きな	other side of the forest. If ya wanna know more, ask Paet.
1:1	023224	02583C	ここに【143】んでる【144】か？	Is he around?
~1:1	023246	025857	ここじゃねえよ、【23】の【1】【2】【3】さ	He works here in the Liberal District.
~1:2	023263	02587E	【45】【46】【30】を【576】【276】いじり【132】してる変【144】よ	He roams around outside the gates. He's an odd guy, tinkering with
~1:2	023284	0258C1	こないだ、【345】【346】機【81】とかをこしらえてな	relics all the time. The other day, he created something
~1:2	0232A9	0258FA	そいつで、【574】の【577】を【578】いたんだとよ	called a recording machine. He made a picture of the Tower.
~1:1	0232CA	025936	ほれ、【84】てみな	Here, take a look.
~1:2	0232E6	025956	そいつをやるから、あとは【99】【144】に【156】きな	I'll give that to ya, and you can ask him yourself.
~1:1	02330B	02598A	【14】が【137】けたら、こっちに【13】てくるだろうぜ	He'll be here in the morning.
~1:1	023340	0259B5	でけえ【573】【579】が【202】づいてるそうだが…	I heard that a huge fleet is coming.
~1:2	023361	0259DA	もう、この【0】にゃ【285】ねえだろうよ	I don't think they will come to this town anymore.
~1:1	023380	025A0D	なんたって、ドラゴンがいるからな	We've got the dragon here, ya know.
~1:2	0233AE	025A3E	帝国【354】が【241】【128】【580】れしてるらしいぜ	I heard there's a conflict within the Empire.
~1:1	0233CD	025A6C	な	Their own ships are shooting
~1:1	0233CF	025A89	【581】い【78】と【438】い【78】が、撃ちあってたんだとよ	each other down.
~1:2	023403	025AA7	バエットの【381】【382】の【546】【327】が【147】たるとはなあ…	I never thought Paet's father's prophesy would come true.
~1:1	023437	025AEE	バエットの【381】【382】が、【546】【327】をしたんだとよ	I heard that Paet's father had a
~1:2	02345C	025B0F	ドラゴンが帝国【354】を【582】っ【409】うって【155】だが…	vision that a dragon came and attacked the Empire.
~1:1	023483	025B42	なんか、うさんくせえなあ	Sounds crazy, don't ya think?
~1:2	0234A9	025B6D	攻性生物のいねえ【88】ってのはいいもんだぜ	A forest without monsters is like paradise, ya know.
~1:2	0234D1	025BA2	これで、【1】【2】【3】の【245】【40】さえいなけりゃなあ	Especially if those guys from the Holy District aren't around.
~1:1	023505	025BEE	ここに【68】れてきた【245】【40】の【583】きだまりよ	Settlers weren't allowed in the Holy
~2:1	023528	025C13	【1】【2】【3】に【41】れてもらえねえんで まりよ	District, so they all decided to
~1:1	02354B	025C34	【393】【83】に【143】み着いちまったのさ	remain here.
~1:1	023573	025C4E	すっかり【264】【445】がとだえちまったな…	I've lost lots of customers 'cuz
~1:2	023594	025C6F	いっそ、【0】が【584】【585】されねえもんかな	of the Empire. Why not let 'em take over this town?
~1:1	0235B5	025CA3	【586】【579】【146】【83】ならいい【587】売になるぜ、きっと	At least the troops would buy drinks.
1:1	0235E7	025CD6	そこにいるヤエルは…ま、なんだ	About Jael over there... well...
1:1	023606	025CF7	<12>っと	Customers ain't gonna come
1:1	02360C	025D12	【588】っ【96】がねえと【264】【445】が【589】るからな	back if there ain't women 'round.
1:1	02362B	025D34	ぽうずも、いっべん【146】【83】してもらえよ	Why don't you ask her out?
1:1	02364E	025D4F	もう【194】し【56】きくなったらな、へへ…	If you think you can handle her.
1:1	02367C	025D7D	この【368】【218】も、【363】【292】もうかるんだぜ	This place makes more money
1:1	02369B	025D99	…	than ya think, ya know.
1:1	02369D	025DB1	【205】【144】や【20】【587】【144】がよく【285】るからな	There's lots of travelers coming by.
1:1	0236C7	025DE3	そこにいるヤエルは…ま、なんだ	About Jael over there... well...
1:1	0236E6	025E04	…	The customers ain't gonna come
1:1	0236E8	025E23	【588】っ【96】がねえと【264】【445】が【589】るからな	back if there ain't women 'round.
1:1	023707	025E45	ぽうずも、いっべん【146】【83】してもらえよ	Why don't you ask her out?
1:1	02372A	025E60	もう【194】し【56】きくなったらな、へへ…	If you think you can handle her.
1:1	023758	025E8E	この【368】【218】も、【363】【292】もうかるんだぜ	This place makes more money
1:1	023777	025EAA	…	than ya think, ya know.
1:1	023779	025EC2	【205】【144】や【20】【587】【144】がよく【285】るからな	There's lots of travelers coming by.
1:1	0237A3	025EF4	【2】なる【439】【159】の【2】なるねぐらさ	A Holy District is for holy folks.
1:1	0237BE	025F17	【215】【242】にゃ【283】のねえ【44】よ	We got no business in there.
~1:2	0237E0	025F41	【14】になると【0】を【289】らす【253】のことさ	The Guardian Fire lights up the town at night.
~1:2	0237FF	025F70	あれのおかげで、攻性生物が【330】りつかねえ	It keeps the monsters away. It's located in the Holy District.
~1:2	023826	025FAF	「【280】り【177】」の【177】【220】は、【1】【2】【3】にあるんだが	I figure that only the High Priest gets to see it.
~1:2	02384E	025FE2	じかに【590】めるのは、【383】【237】ぐらいだろうなあ	He's got his Guardian Fire, I've got my illuminating drinks.
~1:1	023882	02602C	【384】の【383】【237】の【155】、【156】いたか？	Did ya hear that Paet's dad is
~2:1	02389B	02604B	バエットの【381】【382】が【489】ぱれたらしいぜ <0E>なあ	the new High Priest?
~2:1	0238CF	02606D	この【0】を【368】【493】ってるのは、【405】【406】【126】だ <0E>なあ	The Council rules this town, and the
~1:1	0238F6	026092	その【40】で【174】【42】【385】いのが、【383】【237】ってわけよ	High Priest runs the Council.
~1:1	02391B	0260B0	なんたって「【280】り【177】」の【42】【144】だからな	Basically, he controls Zoah.
1:1	02394B	0260DA	ぽうず、【266】い【218】は【327】わねえ	I'll give ya some advice, son.
1:1	023964	0260F9	シーカーと【381】しくするのはやめときな	Don't get friendly with them seekers,
1:1	023987	02611F	【587】売の【158】だけ【146】【83】にしてりゃいいんだ	except when you're doing business
1:1	0239AA	026141	よ	with 'em, ya know.
~1:1	0239B9	026161	【245】【40】、よく【591】【96】で【442】【80】に【41】れるもんだ	How can the seekers desecrate
~1:1	0239DC	02617F	よ	the ruins the way they do?
~1:1	0239DE	02619A	【1】をも【458】れぬってのは、【103】らのことだな	Don't they fear the Gods?
~1:1	023A03	0261B4	【74】【75】【76】の【218】にも【358】に【575】しいし…	They know about the Ancient Age,
~2:1	023A20	0261D5	【511】体の【380】れねえ【245】【40】だぜ <0D>し…	but they're asking for trouble.
1:1	023A4A	026202	ウルの【218】なら、【60】でも【156】きな	Go ahead, ask me about Uru.
1:1	023A65	02621E	【215】は、あそこの【13】【212】だからよ	I was born there, ya know.
1:1	023A8D	026246	え？ 【442】【80】に【143】んでたのか？	What? You lived near the ruins?
~1:1	023AB5	026273	なんだ、【380】らねえのか、ぽうず？	Ya never heard the story, kid?
~1:1	023AD4	026292	ウルには、でっけえ【0】があったんだぜ	There was a huge town in Uru.
~2:1	023AF7	0262B0	な 【442】【80】からわく【36】で、【243】【40】【592】ってたもんさ	The town got water from the ruins,
~1:1	023B1E	0262D3	ところが、ちと【36】が【521】えすぎてな	but the water kept rising.
~1:1	023B3D	0262EE	【296】じゃ、【60】もかも【593】の【594】よ	Now, everything is underwater.
1:1	023B63	02631A	その【442】【80】って、どんな【44】だ？	What can you tell me about the ruins?
1:1	023B8B	02634D	…そこまでは【380】らねえ	I really don't know much about them.
1:1	023BAD	02637F	【60】でも【156】けって【327】ったじゃないか	You told me to ask you anything.
1:1	023BD9	0263AD	【442】【80】の【218】がわかる【103】なんていねえよ	Nobody knows about the ruins.
1:1	023BFA	0263CB	【442】【80】は、【595】の【123】に【488】られてるからな	It's surrounded by walls of rock.
1:1	023C1B	0263ED	うかつに【123】を【415】えようとしたら	You might be crazy enough to try and
1:1	023C38	026412	たちまち攻性生物が【596】ってくるんだぜ	scale the wall, but you'll be easy
1:1	023C5B	026435	<16>	prey for the beasts that live there.
1:1	023C6A	026467	【593】に、トピタマが【143】み着いたらしいぜ	I hear the Tobitamas have
1:1	023C8D	026481	<16>	returned to the lake. I think it's
1:1	023C8F	0264A4	たぷん、【36】【597】が変わったせいだろうな	because the water level rose.
~1:1	023CBF	0264D0	【595】の【123】を【415】えたけりゃ、【181】け【70】を【529】しな	If you want to go past the cliffs,
~1:2	023CE4	0264F3	…そんなもんがあれぱの【155】だがな	you're gonna need to find a path. If one exists...
~1:2	023D10	026533	【593】に、トピタマが【143】み着いたらしいぜ	I hear the Tobitamas have returned to the lake.
~1:1	023D33	026563	な	I think it has something to
~1:1	023D35	02657F	たぷん、【36】【597】が変わったせいだろうな	do with the water level rising.
~1:1	023D65	0265AC	トピタマってのは、変わった生き物でな	Tobitamas are strange birds.
~1:1	023D8A	0265C9	【321】【322】を【5】し【598】いにしとくんだ	At a young age, the young fly away.
~1:1	023DA5	0265ED	<!EC>き物でな	If all of the young return to the
~1:1	023DAF	02660F	【321】【322】が【563】ってきたら、【599】を【440】ぴ【51】って	nest at the same time,
~1:1	023DD2	026626	【495】【465】とその【599】は【185】わねえんだとさ	they abandon it.
~1:1	023DF1	026637	帝国の【155】	About the Empire
~1:1	023E10	026648	ドラゴンの【155】	About the Dragon
~1:1	023E2F	026659	ゾアの【0】の【155】	About the Town of Zoah
~1:1	023E4E	026670	【4】【5】【3】の【155】	About the Liberal District
~1:1	023E6D	02668B	【192】【411】の【155】	About Jubas
~1:1	023E8C	026697	【1】【2】【3】の【155】	About the Holy District
~1:1	023EAB	0266AF	「【280】り【177】」の【155】	About the 'Guardian Fire'
~1:1	023ECA	0266C9	【383】【237】の【155】	About the High Priest
~1:1	023EE9	0266DF	シーカーの【155】	About the Seekers
~1:1	023F08	0266F1	ウルの【155】	About Uru
~1:1	023F27	0266FB	トピタマの【155】	About Tobitama
~1:1	023F46	02670A	【155】をやめる	Quit
~1:1	023F51	02670F	帝国の【155】	About the Empire
~1:1	023F5A	026720	る	About the Dragon
~1:1	023F5C	026731	ドラゴンの【155】	About the Town of Zoah
~1:1	023F7B	026748	ゾアの【0】の【155】	About the Liberal District
~1:1	023F9A	026763	【4】【5】【3】の【155】	About Jubas
~1:1	023FB9	02676F	【192】【411】の【155】	About the Holy District
~1:1	023FD8	026787	【1】【2】【3】の【155】	About the 'Guardian Fire'
~1:1	023FF7	0267A1	「【280】り【177】」の【155】	About the High Priest
~1:1	024016	0267B7	【383】【237】の【155】	About the Seekers
~1:1	024035	0267C9	シーカーの【155】	About Uru
~1:1	024054	0267D3	ウルの【155】	Quit
~1:1	024073	0267D8	【155】をやめる	About the Empire
~1:1	02407E	0267E9	帝国の【155】	About the Dragon
~1:1	024087	0267FA	る	About the Town of Zoah
~1:1	024089	026811	ドラゴンの【155】	About the Liberal District
~1:1	0240A8	02682C	ゾアの【0】の【155】	About Jubas
~1:1	0240C7	026838	【4】【5】【3】の【155】	About the Holy District
~1:1	0240E6	026850	【192】【411】の【155】	About the 'Guardian Fire'
~2:1	024105	02686A	【1】【2】【3】の【155】 「【280】り【177】」の【155】	About the High Priest
~1:1	024143	026880	【383】【237】の【155】	About the Seekers
~1:1	024162	026892	シーカーの【155】	About Tobitama
~1:1	024181	0268A1	トピタマの【155】	Quit
~1:1	0241A0	0268A6	【155】をやめる	About the Empire
~1:1	0241AB	0268B7	帝国の【155】	About the Dragon
~1:1	0241B4	0268C8	る	About the Town of Zoah
~1:1	0241B6	0268DF	ドラゴンの【155】	About the Liberal District
~1:1	0241D5	0268FA	ゾアの【0】の【155】	About Jubas
~1:1	0241F4	026906	【4】【5】【3】の【155】	About the Holy District
~2:1	024213	02691E	【192】【411】の【155】 【1】【2】【3】の【155】	About the 'Guardian Fire'
~1:1	024251	026938	「【280】り【177】」の【155】	About the High Priest
~1:1	024270	02694E	【383】【237】の【155】	About the Seekers
~1:1	02428F	026960	シーカーの【155】	Quit
~1:1	0242AE	026965	【155】をやめる	About the Empire
~1:1	0242B9	026976	帝国の【155】	About the Dragon
~2:1	0242C2	026987	る ドラゴンの【155】	About the Town of Zoah
~1:1	0242E3	02699E	ゾアの【0】の【155】	About the Liberal District
~1:1	024302	0269B9	【4】【5】【3】の【155】	About Jubas
~1:1	024321	0269C5	【192】【411】の【155】	About the Holy District
~2:1	024340	0269DD	【1】【2】【3】の【155】 「【280】り【177】」の【155】	About the 'Guardian Fire'
~1:1	02437E	0269F7	シーカーの【155】	About the Seekers
~1:1	02439D	026A09	ウルの【155】	About Uru
~1:1	0243BC	026A13	トピタマの【155】	About Tobitama
~1:1	0243DB	026A22	【155】をやめる	Quit
~1:1	0243E6	026A27	帝国の【155】	About the Empire
~1:1	0243EF	026A38	る	About the Dragon
~1:1	0243F1	026A49	ドラゴンの【155】	About the Town of Zoah
~1:1	024410	026A60	ゾアの【0】の【155】	About the Liberal District
~1:1	02442F	026A7B	【4】【5】【3】の【155】	About Jubas
~1:1	02444E	026A87	【192】【411】の【155】	About the Holy District
~2:1	02446D	026A9F	【1】【2】【3】の【155】 「【280】り【177】」の【155】	About the 'Guardian Fire'
~1:1	0244AB	026AB9	シーカーの【155】	About the Seekers
~1:1	0244CA	026ACB	ウルの【155】	About Uru
~1:1	0244E9	026AD5	【155】をやめる	Quit
~1:1	0244F4	026ADA	帝国の【155】	About the Empire
~1:1	0244FD	026AEB	る	About the Dragon
~1:1	0244FF	026AFC	ドラゴンの【155】	About the Town of Zoah
~1:1	02451E	026B13	ゾアの【0】の【155】	About the Liberal District
~1:1	02453D	026B2E	【4】【5】【3】の【155】	About Jubas
~2:1	02455C	026B3A	【192】【411】の【155】 【1】【2】【3】の【155】	About the Holy District
~1:1	02459A	026B52	「【280】り【177】」の【155】	About the 'Guardian Fire'
~1:1	0245B9	026B6C	シーカーの【155】	About the Seekers
~1:1	0245D8	026B7E	トピタマの【155】	About Tobitama
~1:1	0245F7	026B8D	【155】をやめる	Quit
~1:1	024602	026B92	帝国の【155】	About the Empire
~1:1	02460B	026BA3	る	About the Dragon
~1:1	02460D	026BB4	ドラゴンの【155】	About the Town of Zoah
~1:1	02462C	026BCB	ゾアの【0】の【155】	About the Liberal District
~1:1	02464B	026BE6	【4】【5】【3】の【155】	About Jubas
~2:1	02466A	026BF2	【192】【411】の【155】 【1】【2】【3】の【155】	About the Holy District
~1:1	0246A8	026C0A	「【280】り【177】」の【155】	About the 'Guardian Fire'
~1:1	0246C7	026C24	シーカーの【155】	About the Seekers
~1:1	0246E6	026C36	【155】をやめる	Quit
~1:1	0246F1	026C3B	帝国の【155】	About the Empire
~1:1	0246FA	026C4C	る	About the Dragon
~1:1	0246FC	026C5D	ドラゴンの【155】	About the Town of Zoah
~2:1	02471B	026C74	ゾアの【0】の【155】 【4】【5】【3】の【155】	About the Liberal District
~1:1	024759	026C8F	【192】【411】の【155】	About Jubas
~1:1	024778	026C9B	【1】【2】【3】の【155】	About the Holy District
~2:1	024797	026CB3	【383】【237】の【155】 シーカーの【155】	About the High Priest
~1:1	0247D5	026CC9	ウルの【155】	About the Seekers
~1:1	0247F4	026CDB	トピタマの【155】	About Uru
~1:1	024813	026CE5	【155】をやめる	About Tobitama
~1:1	02481E	026CF4	帝国の【155】	Quit
~1:1	024827	026CF9	る	About the Empire
~1:1	024829	026D0A	ドラゴンの【155】	About the Dragon
~1:1	024848	026D1B	ゾアの【0】の【155】	About the Town of Zoah
~1:1	024867	026D32	【4】【5】【3】の【155】	About the Liberal District
~1:1	024886	026D4D	【192】【411】の【155】	About Jubas
~2:1	0248A5	026D59	【1】【2】【3】の【155】 【383】【237】の【155】	About the Holy District
~1:1	0248E3	026D71	シーカーの【155】	About the High Priest
~1:1	024902	026D87	ウルの【155】	About the Seekers
~1:1	024921	026D99	【155】をやめる	About Uru
~1:1	02492C	026DA3	帝国の【155】	Quit
~1:1	024935	026DA8	る	About the Empire
~1:1	024937	026DB9	ドラゴンの【155】	About the Dragon
~1:1	024956	026DCA	ゾアの【0】の【155】	About the Town of Zoah
~2:1	024975	026DE1	【4】【5】【3】の【155】 【192】【411】の【155】	About the Liberal District
~1:1	0249B3	026DFC	【1】【2】【3】の【155】	About Jubas
~1:1	0249D2	026E08	【383】【237】の【155】	About the Holy District
~1:1	0249F1	026E20	シーカーの【155】	About the High Priest
~1:1	024A10	026E36	トピタマの【155】	About the Seekers
~1:1	024A2F	026E48	【155】をやめる	About Tobitama
~1:1	024A3A	026E57	帝国の【155】	Quit
~1:1	024A43	026E5C	る	About the Empire
~1:1	024A45	026E6D	ドラゴンの【155】	About the Dragon
~2:1	024A64	026E7E	ゾアの【0】の【155】 【4】【5】【3】の【155】	About the Town of Zoah
~1:1	024AA2	026E95	【192】【411】の【155】	About the Liberal District
~1:1	024AC1	026EB0	【1】【2】【3】の【155】	About Jubas
~2:1	024AE0	026EBC	【383】【237】の【155】 シーカーの【155】	About the Holy District
~1:1	024B1E	026ED4	【155】をやめる	About the High Priest
~2:1	024B29	026EEA	帝国の【155】 る	About the Seekers
~1:1	024B34	026EFC	ドラゴンの【155】	Quit
~1:1	024B53	026F01	ゾアの【0】の【155】	About the Empire
~1:1	024B72	026F12	【4】【5】【3】の【155】	About the Dragon
~1:1	024B91	026F23	【192】【411】の【155】	About the Town of Zoah
~1:1	024BB0	026F3A	【1】【2】【3】の【155】	About the Liberal District
~1:1	024BCF	026F55	シーカーの【155】	About Jubas
~1:1	024BEE	026F61	ウルの【155】	About the Holy District
~1:1	024C0D	026F79	トピタマの【155】	About the Seekers
~1:1	024C2C	026F8B	【155】をやめる	About Uru
~1:1	024C37	026F95	帝国の【155】	About Tobitama
~1:1	024C40	026FA4	る	Quit
~1:1	024C42	026FA9	ドラゴンの【155】	About the Empire
~1:1	024C61	026FBA	ゾアの【0】の【155】	About the Dragon
~1:1	024C80	026FCB	【4】【5】【3】の【155】	About the Town of Zoah
~2:1	024C9F	026FE2	【192】【411】の【155】 【1】【2】【3】の【155】	About the Liberal District
~1:1	024CDD	026FFD	シーカーの【155】	About Jubas
~1:1	024CFC	027009	ウルの【155】	About the Holy District
~1:1	024D1B	027021	【155】をやめる	About the Seekers
~1:1	024D26	027033	帝国の【155】	About Uru
~1:1	024D2F	02703D	る	Quit
~1:1	024D31	027042	ドラゴンの【155】	About the Empire
~1:1	024D50	027053	ゾアの【0】の【155】	About the Dragon
~1:1	024D6F	027064	【4】【5】【3】の【155】	About the Town of Zoah
~2:1	024D8E	02707B	【192】【411】の【155】 【1】【2】【3】の【155】	About the Liberal District
